LANGUAGE, "English", "French"

STR_NNS_Escape_mission_name, "Escape From Zombies (NNS)", "Escape From Zombies (NNS)"
STR_NNS_Escape_mission_version, "v24-06-20-1", "v24-06-20-1"
STR_NNS_Escape_briefing_overview, "Good luck...", "Bonne chance..."

STR_NNS_Escape_briefing_0, "Following massive outbreak on the little island of Malden, all military forces on zone received orders to evacuate.", "A la suite d'une épidémie massive sur la petite île de Malden, toutes les forces militaires de la zone ont reçu l'ordre d'évacuer."
STR_NNS_Escape_briefing_1, "The helicopter you and your team were in has been forced to make a emergency land due to a turbine failure.", "L'hélicoptère dans lequel vous et votre équipe étiez a été contraint de faire un atterrissage d'urgence en raison d'une panne de turbine."
STR_NNS_Escape_briefing_2, "Some locations like <marker name='BIS_mrkSouthBase'>South West</marker>, <marker name='BIS_mrkBase'>East</marker> military base or the <marker name='BIS_mrkAirbase'>airport</marker> should still have working vehicules that can help you to escape.", "Certains emplacements comme la base militaire au <marker name='BIS_mrkSouthBase'>Sud-Ouest</marker> et à <marker name='BIS_mrkBase'>l'Est</marker> ou <marker name='BIS_mrkAirbase'>l'aéroport</marker> devraient toujours avoir des véhicules en état de marche qui pourraient vous aider à vous échapper."
STR_NNS_Escape_briefing_3, "<marker name='BIS_mrkNorthEastBase'>North East</marker> military site may also have a good amount of equipments left.", "Le site militaire du <marker name='BIS_mrkNorthEastBase'>Nord-Est</marker> peut également avoir une bonne quantité d'équipements sur place."
STR_NNS_Escape_briefing_4, "Some CSAT squads have failed to reach the evacuation zones in time and are currently stuck on the island.", "Certaines équipes CSAT n'ont pas réussi à rejoindre les zones d'évacuation à temps et sont actuellement bloqués sur l'île."
STR_NNS_Escape_briefing_5, "Be friendly, try not to shoot at them.", "Soyez amical, essayez de ne pas leurs tirer dessus."

STR_NNS_Escape_approachingLocation, "Approaching %1 (%2m)", "%1 à proximité (%2m)"
STR_NNS_Escape_location_SouthWestBase, "South West base", "base militaire Sud Ouest"
